iata,name,country
01,Bobb Air Freight,Germany
0B,Blue Air,Romania
0D,Darwin Airline,Switzerland
0G,Global Airlines,Argentina
0M,All America MX,Mexico
0P,All America BOPY,Paraguay
0X,Copenhagen Express,Denmark
0Y,All America CO,Colombia
11,TUIfly (X3),Germany
12,12 North,India
13,Eastern Atlantic Virtual Airlines,United States
1B,Abacus International,Singapore
1C,OneChina,China
1E,TransRussiaAirlines,Russia
1F,CB Airways UK ( Interliging Flights ),United Kingdom
1I,Novair,Sweden
1K,BudgetAir,Germany
1R,All America CL,Chile
1T,1Time Airline,South Africa
1X,Island Express Air,Canada
1Y,All America BR,Brazil
20,Air Salone,Sierra Leone
24,Euro Jet,Germany
2A,Deutsche Bahn,Germany
2B,Aerocondor,Portugal
2D,Aero VIP (2D),Portugal
2F,Frontier Flying Service,United States
2I,Star Peru (2I),Peru
2J,Air Burkina,Burkina Faso
2K,Aerolineas Galapagos (Aerogal),Ecuador
2L,Helvetic Airways,Switzerland
2M,Moldavian Airlines,Moldova
2N,NextJet,Sweden
2O,Air Salone,Sierra Leone
2P,Air Philippines,Philippines
2Q,Air Cargo Carriers,United States
2R,All America AR,Argentina
2S,Air Carnival,India
2T,Haiti Ambassador Airlines,Haiti
2U,Air Guinee Express,Guinea
2W,Welcome Air,Austria
2X,Regionalia Uruguay,Uruguay
3B,JobAir,Czech Republic
3E,Air Choice One,United States
3F,Fly Colombia ( Interliging Flights ),Colombia
3G,Atlant-Soyuz Airlines,Russia
3I,Air Comet Chile,Chile
3K,Jetstar Asia Airways,Singapore
3L,Intersky,Austria
3M,Silver Airways (3M),United States
3O,Air Arabia Maroc,Morocco
3P,Tiara Air,Aruba
3Q,Yunnan Airlines,China
3R,Moskovia Airlines,Russia
3S,Air Antilles Express,Guadeloupe
3T,Turan Air,Azerbaijan
3U,Sichuan Airlines,China
3W,Malawian Airlines,Malawi
47,88,Cyprus
4A,Air Kiribati,Kiribati
4B,Boutique Air (Priv),United States
4C,Aires,S.A.
4D,Air Sinai,Egypt
4G,Gazpromavia,Russia
4H,United Airways,Bangladesh
4K,Askari Aviation,Pakistan
4L,Euroline,Georgia
4M,LAN Argentina,Argentina
4N,Air North Charter - Canada,Canada
4O,Interjet (ABC Aerolineas),Mexico
4P,Business Aviation,Congo (Kinshasa)
4Q,Safi Airlines,Afghanistan
4R,Hamburg International,Germany
4S,Vuola Italia,Italy
4T,Belair Airlines,Switzerland
4U,Germanwings,Germany
4X,Red Jet Mexico,Mexico
4Z,Airlink (SAA),South Africa
5B,Bassaka airlines,Cambodia
5C,CAL Cargo Air Lines,Israel
5D,Aerolitoral,Mexico
5E,SGA Airlines,Thailand
5G,Skyservice Airlines,Canada
5H,Fly540,Kenya
5J,Cebu Pacific,Philippines
5K,Hi Fly (5K),Portugal
5L,Aerosur,Bolivia
5M,Sibaviatrans,Russia
5N,Aeroflot-Nord,Russia
5P,Pal airlines,Chile
5Q,BQB Lineas Aereas,Uruguay
5T,Canadian North,Canada
5W,Astraeus,United Kingdom
5Y,Atlas Air,United States
5Z,VivaColombia,Colombia
69,Royal European Airlines,United Kingdom
6A,Consorcio Aviaxsa,Mexico
6B,TUIfly Nordic,Sweden
6C,Vuela Cuba,Cuba
6D,Pelita,Indonesia
6E,IndiGo Airlines,India
6F,MAT Airways,Macedonia
6G,Air Wales,United Kingdom
6H,Israir,Israel
6I,Fly 6ix,Sierra Leone
6J,Skynet Asia Airways,Japan
6K,Asian Spirit,Philippines
6P,Gryphon Airlines,United States
6R,Alrosa Mirny Air Enterprise,Russia
6T,Air Mandalay,Burma
6U,Air Cargo Germany,Germany
6V,Via Conectia Airlines,Uruguay
6W,Saratov Aviation Division,Russia
6Y,SmartLynx Airlines,Latvia
76,Southjet,United States
77,Southjet connect,United States
78,Southjet cargo,United States
7B,Krasnojarsky Airlines,Russia
7C,Jeju Air,Republic of Korea
7E,Aeroline GmbH,Germany
7F,First Air,Canada
7G,Star Flyer,Japan
7H,Era Alaska,United States
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles
7J,Tajik Air,Tajikistan
7K,Kogalymavia Air Company,Russia
7L,Sun D'Or,Israel
7M,Mongolian International Air Lines,Mongolia
7O,All Colombia,Colombia
7P,Metro Batavia,Indonesia
7Q,Pan Am World Airways Dominicana,Dominican Republic
7R,Svyaz Rossiya,Russia
7T,Air Glaciers,Switzerland
7W,Wayraper,Peru
7Y,Med Airways,Lebanon
7Z,Halcyonair,Cape Verde
88,All Australia,Australia
8A,Atlas Blue,Morocco
8B,BusinessAir,Thailand
8D,Astair,Russian Federation
8E,Bering Air,United States
8F,STP Airways,Sao Tome and Principe
8H,Heli France,France
8I,Myway Airlines,Italy
8J,Jet4You,Morocco
8K,Voestar,Brazil
8L,Cargo Plus Aviation,United Arab Emirates
8M,Maxair,Sweden
8N,Barents AirLink,Sweden
8O,West Coast Air,Canada
8P,Pacific Coastal Airline,Canada
8Q,Onur Air,Turkey
8R,TRIP Linhas A,Brazil
8T,Air Tindi,Canadian Territories
8U,Afriqiyah Airways,Libya
8V,Astral Aviation,Kenya
8Z,Wizz Air Hungary,Bulgaria
99,Ciao Air,Italy
9A,All Africa,South Africa
9C,China SSS,China
9E,Pinnacle Airlines,United States
9H,MDLR Airlines,India
9I,International Europe,Spain
9J,Regionalia Chile,Chile
9K,Cape Air,United States
9L,Colgan Air,United States
9N,Regional Air Iceland,Iceland
9Q,PB Air,Thailand
9R,SATENA,Colombia
9S,Spring Airlines,China
9T,Transwest Air,Canada
9U,Air Moldova,Moldova
9V,Volotea Costa Rica,Costa Rica
9W,Jet Airways,India
9X,Regionalia Venezuela,Venezuela
9Y,Air Kazakhstan,Kazakhstan
A1,Atifly,United States
A2,All America,United States
A3,Aegean Airlines,Greece
A4,Southern Winds Airlines,Argentina
A5,Airlinair,France
A6,Air Alps Aviation (A6),Austria
A7,Air Plus Comet,Spain
A9,Georgian Airways,Georgia
AA,American Airlines,United States
AB,Air Berlin,Germany
AC,Air Canada,Canada
AD,Azul,Brazil
AE,Mandarin Airlines,Taiwan
AF,Air France,France
AG,All America US,United States
AH,Air Algerie,Algeria
AI,Air India Limited,India
AJ,Aero Contractors,Nigeria
AK,AirAsia,Malaysia
AL,Skywalk Airlines,United States
AM,AeroMéxico,Mexico
AN,Ansett Australia,Australia
AO,Avianova (Russia),Russia
AP,Air One,Italy
AQ,Aloha Airlines,United States
AR,Aerolineas Argentinas,Argentina
AS,Alaska Airlines,ALASKA
AT,Royal Air Maroc,Morocco
AU,Austral Lineas Aereas,Argentina
AV,Avianca - Aerovias Nacionales de Colombia,AVIANCA
AW,Asian Wings Airways,Burma
AX,Trans States Airlines,United States
AY,Finnair,Finland
AZ,Alitalia,Italy
B0,Aws express,United States
B1,Baltic Air lines,Latvia
B2,Belavia Belarusian Airlines,Belarus
B3,Bellview Airlines,Nigeria
B4,Flyglobespan,United Kingdom
B5,Flightline,United Kingdom
B6,JetBlue Airways,United States
B7,Uni Air,Taiwan
B8,Eritrean Airlines,Eritrea
B9,Air Bangladesh,Bangladesh
BA,British Airways,United Kingdom
BB,Seaborne Airlines,United States
BC,Skymark Airlines,Japan
BD,bmi,United Kingdom
BE,Flybe,United Kingdom
BF,Aero-Service,Republic of the Congo
BG,Biman Bangladesh Airlines,Bangladesh
BH,Hawkair,Canada
BI,Royal Brunei Airlines,Brunei
BJ,Nouvel Air Tunisie,Tunisia
BK,Potomac Air,United States
BL,Jetstar Pacific,Vietnam
BM,Air Sicilia,Italy
BN,Horizon Airlines,Australia
BP,Air Botswana,Botswana
BQ,Buquebus Líneas Aéreas,Uruguay
BR,EVA Air,Taiwan
BS,British International Helicopters,United Kingdom
BT,Air Baltic,Latvia
BU,Baikotovitchestrian Airlines,American Samoa
BV,Blue Panorama Airlines,Italy
BW,Caribbean Airlines,Trinidad and Tobago
BX,Air Busan,Republic of Korea
BY,Thomsonfly,United Kingdom
BZ,Black Stallion Airways,United States
C0,Centralwings,Poland
C1,CanXpress,Canada
C2,CanXplorer,Canada
C3,QatXpress,Qatar
C4,LionXpress,Cameroon
C5,CommutAir,United States
C7,Sky Wing Pacific,South Korea
C9,Cirrus Airlines,Germany
CA,Air China,China
CB,CCML Airlines,Colombia
CC,Macair Airlines,Australia
CD,Air India Regional,India
CE,Nationwide Airlines,South Africa
CF,City Airline,Sweden
CG,Airlines PNG,Papua New Guinea
CH,Bemidji Airlines,United States
CI,China Airlines,Taiwan
CJ,BA CityFlyer,United Kingdom
CL,Lufthansa CityLine,Germany
CM,Copa Airlines,Panama
CN,Canadian National Airways,Canada
CO,Continental Airlines,United States
CP,Compass Airlines,United States
CQ,SOCHI AIR,Russia
CS,Continental Micronesia,United States
CT,Alitalia Cityliner,Italy
CU,Cubana de Aviación,Cuba
CV,Air Chathams,New Zealand
CW,Air Marshall Islands,Marshall Islands
CX,Cathay Pacific,Hong Kong SAR of China
CY,Cyprus Airways,Cyprus
CZ,China Southern Airlines,China
D1,Domenican Airlines,Dominican Republic
D2,Severstal Air Company,Russia
D3,Daallo Airlines,Djibouti
D6,Interair South Africa,South Africa
D7,AirAsia X,Malaysia
D8,Djibouti Airlines,Djibouti
D9,Aeroflot-Don,Russia
DA,Dana Air,Nigeria
DB,Brit Air,France
DC,Golden Air,Sweden
DD,Nok Air,Thailand
DE,Condor Flugdienst,Germany
DF,Michael Airlines,Puerto Rico
DG,South East Asian Airlines,Philippines
DH,Dennis Sky,Israel
DI,dba,Germany
DK,Eastland Air,Australia
DL,Delta Air Lines,United States
DM,Maersk,Denmark
DN,Senegal Airlines,Senegal
DO,Dominicana de Aviaci,Dominican Republic
DP,First Choice Airways,United Kingdom
DQ,Coastal Air,United States
DR,Air Mediterranee,France
DS,EasyJet (DS),Switzerland
DT,TAAG Angola Airlines,Angola
DU,Norwegian Long Haul AS,Norway
DV,Scat Air,Kazakhstan
DX,DAT Danish Air Transport,Denmark
DY,Norwegian Air Shuttle,Norway
DZ,Starline.kz,Kazakhstan
E1,Usa Sky Cargo,United States
E2,Eagle Atlantic Airlines,Ghana
E3,Domodedovo Airlines,Russia
E4,Elysian Airlines,Cameroon
E5,Air Arabia Egypt,Egypt
E8,City Airways,Thailand
E9,Compagnie Africaine d\\'Aviation,Congo (Kinshasa)
EA,European Air Express,Germany
EC,Avialeasing Aviation Company,Uzbekistan
ED,Airblue,Pakistan
EE,Nordica,Estonia
EF,Far Eastern Air Transport,Taiwan
EG,Japan Asia Airways,Japan
EI,Aer Lingus,Ireland
EJ,New England Airlines,United States
EK,Emirates,United Arab Emirates
EL,Air Nippon,Japan
EM,Aero Benin,Benin
EN,Air Dolomiti,Italy
EO,Express One International,United States
EP,Iran Aseman Airlines,Iran
EQ,TAME,Ecuador
ER,Fly Europa,Spain
ES,EuropeSky,Germany
ET,Ethiopian Airlines,Ethiopia
EU,Empresa Ecuatoriana De Aviacion,Ecuador
EV,Atlantic Southeast Airlines,United States
EW,Eurowings,Germany
EX,Europe Jet,France
EY,Etihad Airways,United Arab Emirates
EZ,Evergreen International Airlines,United States
F1,Fly Brasil,Brazil
F5,Fly One,Moldova
F7,Flybaboo,Switzerland
F8,Air2there,New Zealand
F9,Frontier Airlines,United States
FA,Epic Holiday,United States
FB,Bulgaria Air,Bulgaria
FC,Finncomm Airlines,Finland
FD,Thai AirAsia,Thailand
FF,Fly France,France
FG,Ariana Afghan Airlines,Afghanistan
FH,FlyHigh Airlines Ireland (FH),Ireland
FI,Icelandair,Iceland
FJ,Air Pacific,Fiji
FK,Africa West,Togo
FL,AirTran Airways,United States
FM,Shanghai Airlines,China
FN,Regional Airlines,Morocco
FO,Airlines Of Tasmania,Australia
FP,Freedom Air,United States
FQ,Thomas Cook Airlines,Belgium
FR,Ryanair,Ireland
FS,Servicios de Transportes A,Argentina
FT,Siem Reap Airways,Cambodia
FU,Felix Airways,Yemen
FV,Rossiya-Russian Airlines,Russia
FW,Ibex Airlines,Japan
FX,FOX Linhas Aereas,Brazil
FY,Firefly,Malaysia
FZ,Fly Dubai,United Arab Emirates
G0,Ghana International Airlines,Ghana
G1,Indya Airline Group,India
G3,Sky Express,Greece
G4,Allegiant Air,United States
G5,Huaxia,China
G6,Air Volga,Russia
G7,GoJet Airlines,United States
G8,Go Air,India
G9,Air Arabia,United Arab Emirates
GA,Garuda Indonesia,Indonesia
GB,BRAZIL AIR,Brazil
GE,TransAsia Airways,Taiwan
GF,Gulf Air Bahrain,Bahrain
GG,Air Guyane,French Guiana
GH,Globus,Russia
GI,Itek Air,Kyrgyzstan
GJ,Eurofly Service,Italy
GK,Genesis,Pakistan
GL,Air Greenland,Denmark
GM,German International Air Lines,Germany
GN,GNB Linhas Aereas,Brazil
GO,Kuzu Airlines Cargo,Turkey
GP,Gadair European Airlines,Spain
GR,Aurigny Air Services,United Kingdom
GS,Air Foyle,United Kingdom
GT,GB Airways,United Kingdom
GV,Aero Flight,Germany
GW,Kuban Airlines,Russia
GX,GermanXL,Germany
GY,Gabon Airlines,Gabon
GZ,Air Rarotonga,Cook Islands
H1,Hankook Air US,United States
H2,Sky Airline,Chile
H3,Harbour Air (Priv),Canada
H5,I-Fly,Russia
H6,Hageland Aviation Services,United States
H7,Eagle Air,Uganda
H8,Dalavia,Russia
H9,PEGASUS AIRLINES-,Turkey
HA,Hawaiian Airlines,United States
HC,Himalayan Airlines,Nepal
HD,Hokkaido International Airlines,Japan
HE,Luftfahrtgesellschaft Walter,Germany
HF,Hapagfly,Germany
HG,Niki,Austria
HH,Air Hamburg (AHO),Germany
HI,Papillon Grand Canyon Helicopters,United States
HK,Yangon Airways,Burma
HM,Air Seychelles,Seychelles
HN,Hankook Airline,South Korea
HO,Juneyao Airlines,China
HP,America West Airlines,United States
HR,China United Airlines,China
HT,Hellenic Imperial Airways,Greece
HU,Hainan Airlines,China
HV,Transavia Holland,Netherlands
HW,Hello,Switzerland
HX,Hong Kong Airlines,Hong Kong SAR of China
HY,Uzbekistan Airways,Uzbekistan
HZ,Sat Airlines,Kazakhstan
I2,Iberia Express,Spain
I3,ATA Airlines (Iran),Iran
I4,International AirLink,Jamaica
I5,Indonesia Sky,Indonesia
I6,MexicanaLink,Mexico
I7,Paramount Airways,India
I8,IzAvia,Russia
I9,Indigo,United States
IA,Iraqi Airways,Iraq
IB,Iberia Airlines,Spain
IC,Indian Airlines,India
ID,Interlink Airlines,South Africa
IE,Solomon Airlines,Solomon Islands
IF,Islas Airways,Spain
IG,Meridiana,Italy
II,LSM International,Russia
IJ,Spring Airlines Japan,Japan
IK,Imair Airlines,Azerbaijan
IN,MAT Macedonian Airlines,Macedonia
IO,Indonesian Airlines,Indonesia
IP,Island Spirit,Iceland
IQ,Augsburg Airways,Germany
IR,Iran Air,Iran
IS,Island Airlines,United States
IT,Kingfisher Airlines,India
IV,Wind Jet,Italy
IW,Wings Air,Indonesia
IX,Air India Express,India
IY,Yemenia,Yemen
IZ,Arkia Israel Airlines,Israel
J1,OneJet,United States
J2,Azerbaijan Airlines,Azerbaijan
J3,Northwestern Air,Canada
J4,ALAK,Russia
J5,Alaska Seaplane Service,United States
J7,Denim Air,Norway
